Time_min,PAR_umolPPFDm-2s-1,Tair_C
1100,140,29.4
1101,130,29.4
1102,121,29.3
1103,115,29.3
1104,108,29.2
1105,104,29.2
1106,98,29.1
1107,93,29.1
1108,89,29
1109,85,29
1110,79,28.9
1111,74,28.9
1112,71,28.9
1113,66,28.8
1114,62,28.8
1115,58,28.8
1116,54,28.7
1117,49,28.7
1118,47,28.7
1119,41,28.7
1120,39,28.6
1121,35,28.6
1122,34,28.6
1123,32,28.6
1124,28,28.5
1125,26,28.5
1126,26,28.5
1127,21,28.4
1128,19,28.4
1129,19,28.4
1130,14,28.4
1131,13,28.3
1132,11,28.3
1133,6,28.3
1134,6,28.2
1135,6,28.2
1136,6,28.1
1137,4,28.1
1138,0,28.1
1139,0,28
1140,0,28
1141,0,28
1142,0,27.9
1143,0,27.9
1144,0,27.9
1145,0,27.9
1146,0,27.8
1147,0,27.8
1148,0,27.8
1149,0,27.8
1150,0,27.7
1151,0,27.7
1152,0,27.7
1153,0,27.6
1154,0,27.6
1155,0,27.6
1156,0,27.6
1157,0,27.6
1158,0,27.6
1159,0,27.6
1160,0,27.6
1161,0,27.6
1162,0,27.6
1163,0,27.6
1164,0,27.5
1165,0,27.5
1166,0,27.5
1167,0,27.4
1168,0,27.4
1169,0,27.4
1170,0,27.3
1171,0,27.2
1172,0,27.2
1173,0,27.2
1174,0,27.2
1175,0,27.3
1176,0,27.3
1177,0,27.3
1178,0,27.3
1179,0,27.3
1180,0,27.3
1181,0,27.2
1182,0,27.2
1183,0,27.2
1184,0,27.1
1185,0,27.1
1186,0,27.1
1187,0,27.1
1188,0,27.1
1189,0,27.1
1190,0,27.1
1191,0,27
1192,0,27
1193,0,27
1194,0,27
1195,0,27
1196,0,26.9
1197,0,26.9
1198,0,26.9
1199,0,26.8
1200,0,26.8
1201,0,26.7
1202,0,26.7
1203,0,26.7
1204,0,26.7
1205,0,26.7
1206,0,26.6
1207,0,26.6
1208,0,26.6
1209,0,26.6
1210,0,26.6
1211,0,26.5
1212,0,26.5
1213,0,26.5
1214,0,26.5
1215,0,26.5
1216,0,26.5
1217,0,26.5
1218,0,26.4
1219,0,26.4
